country,region,homicidios
Uganda,Sub-Saharan Africa ,9.75
Uruguay,Latin America & Caribbean ,9.70
Suriname,Latin America & Caribbean ,9.38
Antigua and Barbuda,Latin America & Caribbean ,9.19
Dominican Republic,Latin America & Caribbean ,8.86
Ethiopia,Sub-Saharan Africa ,8.79
Cayman Islands,Latin America & Caribbean ,8.22
Nicaragua,Latin America & Caribbean ,7.87
Ecuador,Latin America & Caribbean ,7.78
Peru,Latin America & Caribbean ,7.67
Kiribati,East Asia & Pacific,7.52
Zimbabwe,Sub-Saharan Africa ,7.48
Russian Federation,Europe & Central Asia,7.33
Bolivia,Latin America & Caribbean ,7.00
"Yemen, Rep.",Middle East & North Africa,6.77
Paraguay,Latin America & Caribbean ,6.74
Haiti,Latin America & Caribbean ,6.68
Afghanistan,South Asia,6.66
Samoa,East Asia & Pacific,6.63
United States,North America,6.52
Tanzania,Sub-Saharan Africa ,6.48
Cabo Verde,Sub-Saharan Africa ,6.47
Ukraine,Europe & Central Asia,6.18
Burundi,Sub-Saharan Africa ,6.05
Mongolia,East Asia & Pacific,5.98
Turks and Caicos Islands,Latin America & Caribbean ,5.65
Zambia,Sub-Saharan Africa ,5.37
Argentina,Latin America & Caribbean ,5.35
Greenland,Europe & Central Asia,5.32
Cuba,Latin America & Caribbean ,5.05
"Venezuela, RB",Latin America & Caribbean ,49.88
Virgin Islands (U.S.),Latin America & Caribbean ,49.28
Jamaica,Latin America & Caribbean ,44.95
Lesotho,Sub-Saharan Africa ,43.56
Thailand,East Asia & Pacific,4.90
Angola,Sub-Saharan Africa ,4.85
Chile,Latin America & Caribbean ,4.84
Tunisia,Middle East & North Africa,4.76
Niger,Sub-Saharan Africa ,4.43
Philippines,East Asia & Pacific,4.41
Guam,East Asia & Pacific,4.18
Timor-Leste,East Asia & Pacific,4.10
Trinidad and Tobago,Latin America & Caribbean ,38.57
El Salvador,Latin America & Caribbean ,37.16
Honduras,Latin America & Caribbean ,36.33
South Africa,Sub-Saharan Africa ,33.46
Pakistan,South Asia,3.84
Lithuania,Europe & Central Asia,3.71
Latvia,Europe & Central Asia,3.71
Mozambique,Sub-Saharan Africa ,3.51
Sri Lanka,South Asia,3.48
Kenya,Sub-Saharan Africa ,3.46
Liberia,Sub-Saharan Africa ,3.26
Sao Tome and Principe,Sub-Saharan Africa ,3.25
Kazakhstan,Europe & Central Asia,3.23
Estonia,Europe & Central Asia,3.17
Mexico,Latin America & Caribbean ,28.37
St. Lucia,Latin America & Caribbean ,28.32
St. Martin (French part),Latin America & Caribbean ,27.73
Belize,Latin America & Caribbean ,25.65
Colombia,Latin America & Caribbean ,22.64
Brazil,Latin America & Caribbean ,22.45
Nigeria,Sub-Saharan Africa ,21.99
Dominica,Latin America & Caribbean ,20.84
Central African Republic,Sub-Saharan Africa ,20.12
India,South Asia,2.95
Montenegro,Europe & Central Asia,2.87
Tonga,East Asia & Pacific,2.87
Mauritius,Sub-Saharan Africa ,2.75
New Zealand,East Asia & Pacific,2.63
Liechtenstein,Europe & Central Asia,2.62
Andorra,Europe & Central Asia,2.59
Rwanda,Sub-Saharan Africa ,2.58
"Egypt, Arab Rep.",Middle East & North Africa,2.55
Turkiye,Europe & Central Asia,2.48
Bhutan,South Asia,2.46
Kosovo,Europe & Central Asia,2.40
Belarus,Europe & Central Asia,2.38
Bangladesh,South Asia,2.37
Moldova,Europe & Central Asia,2.31
Azerbaijan,Europe & Central Asia,2.27
Fiji,East Asia & Pacific,2.23
"Iran, Islamic Rep.",Middle East & North Africa,2.19
Malaysia,East Asia & Pacific,2.13
Albania,Europe & Central Asia,2.12
Ghana,Sub-Saharan Africa ,2.09
Nepal,South Asia,2.07
Guyana,Latin America & Caribbean ,19.96
St. Kitts and Nevis,Latin America & Caribbean ,18.80
"Bahamas, The",Latin America & Caribbean ,18.56
Puerto Rico,Latin America & Caribbean ,18.49
Guatemala,Latin America & Caribbean ,17.47
St. Vincent and the Grenadines,Latin America & Caribbean ,17.18
South Sudan,Sub-Saharan Africa ,14.87
Barbados,Latin America & Caribbean ,14.27
Grenada,Latin America & Caribbean ,12.44
Namibia,Sub-Saharan Africa ,11.92
Panama,Latin America & Caribbean ,11.59
Eswatini,Sub-Saharan Africa ,11.56
Costa Rica,Latin America & Caribbean ,11.19
Palau,East Asia & Pacific,11.17
Seychelles,Sub-Saharan Africa ,10.23
Iraq,Middle East & North Africa,10.07
Canada,North America,1.97
Aruba,Latin America & Caribbean ,1.93
Georgia,Europe & Central Asia,1.93
Lebanon,Middle East & North Africa,1.88
Cambodia,East Asia & Pacific,1.84
Kuwait,Middle East & North Africa,1.82
Malawi,Sub-Saharan Africa ,1.81
Armenia,Europe & Central Asia,1.75
Kyrgyz Republic,Europe & Central Asia,1.75
Sierra Leone,Sub-Saharan Africa ,1.73
Finland,Europe & Central Asia,1.64
Malta,Middle East & North Africa,1.59
Vietnam,East Asia & Pacific,1.53
Israel,Middle East & North Africa,1.47
Iceland,Europe & Central Asia,1.47
Romania,Europe & Central Asia,1.46
Cameroon,Sub-Saharan Africa ,1.39
France,Europe & Central Asia,1.35
Algeria,Middle East & North Africa,1.32
Bosnia and Herzegovina,Europe & Central Asia,1.31
Burkina Faso,Sub-Saharan Africa ,1.25
Cyprus,Europe & Central Asia,1.24
Morocco,Middle East & North Africa,1.24
Sweden,Europe & Central Asia,1.23
Jordan,Middle East & North Africa,1.20
Uzbekistan,Europe & Central Asia,1.20
Guinea-Bissau,Sub-Saharan Africa ,1.15
North Macedonia,Europe & Central Asia,1.15
Slovak Republic,Europe & Central Asia,1.15
Benin,Sub-Saharan Africa ,1.13
United Kingdom,Europe & Central Asia,1.12
Serbia,Europe & Central Asia,1.02
Bulgaria,Europe & Central Asia,0.99
Croatia,Europe & Central Asia,0.97
Denmark,Europe & Central Asia,0.95
West Bank and Gaza,Middle East & North Africa,0.94
Germany,Europe & Central Asia,0.93
Portugal,Europe & Central Asia,0.91
Tajikistan,Europe & Central Asia,0.91
"Micronesia, Fed. Sts.",East Asia & Pacific,0.88
Australia,East Asia & Pacific,0.87
Hungary,Europe & Central Asia,0.83
Saudi Arabia,Middle East & North Africa,0.83
Greece,Europe & Central Asia,0.75
Austria,Europe & Central Asia,0.72
Czechia,Europe & Central Asia,0.72
Poland,Europe & Central Asia,0.70
Ireland,Europe & Central Asia,0.69
United Arab Emirates,Middle East & North Africa,0.66
Spain,Europe & Central Asia,0.64
Netherlands,Europe & Central Asia,0.62
"Korea, Rep.",East Asia & Pacific,0.60
Maldives,South Asia,0.57
Norway,Europe & Central Asia,0.57
Switzerland,Europe & Central Asia,0.54
China,East Asia & Pacific,0.53
Slovenia,Europe & Central Asia,0.53
Brunei Darussalam,East Asia & Pacific,0.49
Italy,Europe & Central Asia,0.47
Qatar,Middle East & North Africa,0.42
Vanuatu,East Asia & Pacific,0.33
"Macao SAR, China",East Asia & Pacific,0.31
"Hong Kong SAR, China",East Asia & Pacific,0.29
Oman,Middle East & North Africa,0.27
Senegal,Sub-Saharan Africa ,0.27
Japan,East Asia & Pacific,0.25
Singapore,East Asia & Pacific,0.17
Luxembourg,Europe & Central Asia,0.16
Bahrain,Middle East & North Africa,0.12
Myanmar,East Asia & Pacific,0.01
American Samoa,East Asia & Pacific,0.00
Bermuda,North America,0.00
Isle of Man,Europe & Central Asia,0.00
San Marino,Europe & Central Asia,0.00
Tuvalu,East Asia & Pacific,0.00
